log_lik ml gamma sl2 sm2 sd2 eml egamma esl2 esm2 esd2 step medium file length min_cell_len discard_top end_type filt_r
2.4985300956481873 0.011169734057768681 0.08853566275487282 1.9241658401215546e-06 0.00014065274185600903 0.009003186047385318 0.00018814045883691952 0.01980764507297038 5.673712490932941e-07 7.840219718804058e-06 0.0013159768426781071 1 glucose /scicore/home/nimwegen/fiori/deep_moma_data/myframes_20190730_deepmoma_glucose.csv length_deep 12 1 div 0.9
2.311172360540112 0.011528537484285707 0.011156390866790846 2.5587404774810653e-07 0.0002920716544168538 0.0074810412327973325 0.0005863869908367459 0.0033444023872620013 4.29397428913271e-08 1.0531848028718489e-05 0.0011027105968887218 1 glucose /scicore/home/nimwegen/fiori/deep_moma_data/myframes_20190730_deepmoma_glucose.csv length_raw 12 1 div 0.9
2.4985300956481855 0.01116973400995909 0.08853569663468515 1.924166813419889e-06 0.00014065273406324648 0.009003186287469241 0.00018806812274961755 0.01953176926547787 5.593038792052353e-07 7.790148833968126e-06 0.0013160283955693539 1 glucose /scicore/home/nimwegen/fiori/deep_moma_data/myframes_20190730_deepmoma_glucose.csv length_deep 12 1 div 0.9
2.31541618189736 0.011046565082654725 0.03584516999662021 5.621873887273747e-07 0.0002728602014147249 0.007561503839892524 0.000253503764429781 0.008072243229445651 1.399395590959464e-07 1.1000175695631785e-05 0.0011219445769621627 1 glucose /scicore/home/nimwegen/fiori/deep_moma_data/myframes_20190730_deepmoma_glucose.csv length_raw 12 1 div 0.9
2.4985300956481824 0.011169734056927628 0.08853568643116623 1.924166516808477e-06 0.00014065273597655602 0.009003186832127702 0.00018811063561751886 0.019609165484701 5.617839976802504e-07 7.80036757280827e-06 0.0013160587275726945 1 glucose /scicore/home/nimwegen/fiori/deep_moma_data/myframes_20190730_deepmoma_glucose.csv length_deep 12 1 div 0.9
2.3154161819019627 0.011046576651138597 0.03584541551753137 5.621832119610485e-07 0.000272859732131634 0.0075615171934629395 0.00025353140384086644 0.008042927952618604 1.3956243512094903e-07 1.0994396158359086e-05 0.0011219758682458358 1 glucose /scicore/home/nimwegen/fiori/deep_moma_data/myframes_20190730_deepmoma_glucose.csv length_raw 12 1 div 0.9
2.4985300956481824 0.011169734380185089 0.08853568634192922 1.924166604571844e-06 0.0001406527164591407 0.009003186240883638 0.00018809910965722102 0.019640496971393372 5.624035524255051e-07 7.808920695317378e-06 0.0013159173031445722 1 glucose /scicore/home/nimwegen/fiori/deep_moma_data/myframes_20190730_deepmoma_glucose.csv length_deep 12 1 div 0.9
2.315416181900341 0.011046562337182498 0.03584474007440315 5.621733961917692e-07 0.0002728606378529021 0.0075615001138256656 0.0002534137630030754 0.008087077588733702 1.4019442950741356e-07 1.1014208309199957e-05 0.0011219683316786985 1 glucose /scicore/home/nimwegen/fiori/deep_moma_data/myframes_20190730_deepmoma_glucose.csv length_raw 12 1 div 0.9
2.498530095648182 0.011169733837895927 0.08853562787059588 1.9241647830301467e-06 0.00014065272922585378 0.009003185910322462 0.0001880933979622825 0.019664554832720175 5.633095309667279e-07 7.808708470042093e-06 0.001315986518504884 1 glucose /scicore/home/nimwegen/fiori/deep_moma_data/myframes_20190730_deepmoma_glucose.csv length_deep 12 1 div 0.9
2.315416181952136 0.011046582992065828 0.03584427773960816 5.621733810034717e-07 0.0002728610935432295 0.007561736242071823 0.0002534195977895297 0.007988017916043649 1.387193440779877e-07 1.0982140012591447e-05 0.001121997975686165 1 glucose /scicore/home/nimwegen/fiori/deep_moma_data/myframes_20190730_deepmoma_glucose.csv length_raw 12 1 div 0.9
2.49853009564818 0.011169734127002675 0.08853570776189672 1.9241672306400923e-06 0.00014065272721444305 0.009003187128957974 0.00018823850802920542 0.019278403136166772 5.525115242297785e-07 7.758662789232573e-06 0.0013159604915272307 1 glucose /scicore/home/nimwegen/fiori/deep_moma_data/myframes_20190730_deepmoma_glucose.csv length_deep 12 1 div 0.9
2.3154161817094 0.01104664013592159 0.03584330925700251 5.621502261128369e-07 0.00027286192484325504 0.007561031349507097 0.00025347710729020103 0.008161311347876026 1.4131220333531383e-07 1.100598871044628e-05 0.0011218677106629184 1 glucose /scicore/home/nimwegen/fiori/deep_moma_data/myframes_20190730_deepmoma_glucose.csv length_raw 12 1 div 0.9
2.4985300956482157 0.011169733065555593 0.0885357617362183 1.9241685940486328e-06 0.0001406527028239513 0.009003178378592394 0.00018805784695083796 0.01952498522193272 5.593772237476359e-07 7.791403711904463e-06 0.0013159666556879263 1 glucose /scicore/home/nimwegen/fiori/deep_moma_data/myframes_20190730_deepmoma_glucose.csv length_deep 12 1 div 0.9
